timehour,sumofhourlyavg,rainAmount,temperature
2017-06-01 00:00:00,2804.6,0.0,6.5
2017-06-01 01:00:00,2808.4,0.0,5.5
2017-06-01 02:00:00,2809.2,0.0,5.3
2017-06-01 03:00:00,2731.8,0.0,5.7
2017-06-01 04:00:00,2583.2,0.0,6.5
2017-06-01 05:00:00,2421.4,0.0,7.8
2017-06-01 06:00:00,2509.4,0.0,9.0
2017-06-01 07:00:00,2612.8,0.0,10.1
2017-06-01 08:00:00,2689.0,1.7,5.5
2017-06-01 09:00:00,2647.8,0.0,5.5
2017-06-01 10:00:00,2686.0,1.8,6.6
2017-06-01 11:00:00,2693.4,0.0,6.7
2017-06-01 12:00:00,2633.4,0.7,6.2
2017-06-01 13:00:00,2433.2,0.0,7.7
2017-06-01 14:00:00,2405.4,0.0,9.0
2017-06-01 15:00:00,2528.6,0.0,9.0
2017-06-01 16:00:00,2616.4,0.0,6.2
2017-06-01 17:00:00,2643.2,1.1,6.1
2017-06-01 18:00:00,2668.6,0.0,7.7
2017-06-01 19:00:00,2748.2,0.0,7.2
2017-06-01 20:00:00,2777.0,0.0,6.5
2017-06-01 21:00:00,2807.8,0.0,5.7
2017-06-01 22:00:00,2822.0,0.0,5.3
2017-06-01 23:00:00,2825.6,0.0,5.0
2017-06-02 00:00:00,2832.6,0.0,4.4
2017-06-02 01:00:00,2832.6,0.0,3.7
2017-06-02 02:00:00,2821.6,0.0,3.6
2017-06-02 03:00:00,2775.2,0.0,4.2
2017-06-02 04:00:00,2600.4,0.0,5.2
2017-06-02 05:00:00,2483.2,0.0,6.3
2017-06-02 06:00:00,2585.2,0.0,6.7
2017-06-02 07:00:00,2651.0,0.0,6.5
2017-06-02 08:00:00,2668.8,0.0,7.2
2017-06-02 09:00:00,2659.6,0.0,7.3
2017-06-02 10:00:00,2649.0,0.0,7.5
2017-06-02 11:00:00,2650.8,0.0,8.6
2017-06-02 12:00:00,2557.0,0.0,8.3
2017-06-02 13:00:00,2482.6,0.0,8.6
2017-06-02 14:00:00,2519.0,0.0,8.4
2017-06-02 15:00:00,2583.4,0.0,7.5
2017-06-02 16:00:00,2524.4,0.0,7.3
2017-06-02 17:00:00,2577.4,0.0,8.8
2017-06-02 18:00:00,2647.4,0.0,8.3
2017-06-02 19:00:00,2713.6,0.0,7.9
2017-06-02 20:00:00,2712.2,0.0,7.4
2017-06-02 21:00:00,2728.4,0.0,6.7
2017-06-02 22:00:00,2760.8,0.0,5.9
2017-06-02 23:00:00,2770.6,0.0,5.4
2017-06-03 00:00:00,2791.8,0.0,5.0
2017-06-03 01:00:00,2799.0,0.0,4.9
2017-06-03 02:00:00,2803.0,0.0,4.5
2017-06-03 03:00:00,2792.8,0.0,4.7
2017-06-03 04:00:00,2782.4,0.0,6.4
2017-06-03 05:00:00,2768.0,0.0,8.1
2017-06-03 06:00:00,2731.6,0.0,9.1
2017-06-03 07:00:00,2671.6,0.0,10.1
2017-06-03 08:00:00,2619.8,0.0,11.4
2017-06-03 09:00:00,2529.8,0.0,12.5
2017-06-03 10:00:00,2503.6,0.0,11.9
2017-06-03 11:00:00,2464.6,0.0,12.7
2017-06-03 12:00:00,2401.8,0.0,14.0
2017-06-03 13:00:00,2417.6,0.0,14.8
2017-06-03 14:00:00,2441.8,0.0,14.8
2017-06-03 15:00:00,2486.8,0.0,15.6
2017-06-03 16:00:00,2473.4,0.0,15.1
2017-06-03 17:00:00,2526.4,0.0,14.7
2017-06-03 18:00:00,2586.4,0.0,14.1
2017-06-03 19:00:00,2657.8,0.0,12.2
2017-06-03 20:00:00,2692.0,0.0,10.2
2017-06-03 21:00:00,2654.2,0.0,9.5
2017-06-03 22:00:00,2695.6,0.0,8.9
2017-06-03 23:00:00,2719.0,0.0,8.1
2017-06-04 00:00:00,2742.0,0.0,7.2
2017-06-04 01:00:00,2757.0,0.0,6.3
2017-06-04 02:00:00,2796.2,0.0,5.7
2017-06-04 03:00:00,2816.6,0.0,6.1
2017-06-04 04:00:00,2814.8,0.0,7.5
2017-06-04 05:00:00,2812.4,0.0,7.9
2017-06-04 06:00:00,2783.6,0.0,9.7
2017-06-04 07:00:00,2645.4,0.0,9.7
2017-06-04 08:00:00,2485.2,0.0,9.3
2017-06-04 09:00:00,2436.2,0.0,10.7
2017-06-04 10:00:00,2289.4,0.0,10.3
2017-06-04 11:00:00,2189.0,0.0,11.0
2017-06-04 12:00:00,2191.0,0.0,11.5
2017-06-04 13:00:00,2293.4,0.0,10.7
2017-06-04 14:00:00,2348.8,0.0,10.9
2017-06-04 15:00:00,2294.2,0.0,13.1
2017-06-04 16:00:00,2391.6,0.0,11.5
2017-06-04 17:00:00,2450.6,0.0,9.7
2017-06-04 18:00:00,2568.6,0.0,9.4
2017-06-04 19:00:00,2650.0,0.0,9.6
2017-06-04 20:00:00,2704.8,0.0,9.4
2017-06-04 21:00:00,2742.0,0.0,9.4
2017-06-04 22:00:00,2766.6,0.0,9.5
2017-06-04 23:00:00,2771.2,0.0,9.8
2017-06-05 00:00:00,2777.8,0.0,9.7
2017-06-05 01:00:00,2782.8,0.0,9.8
2017-06-05 02:00:00,2772.4,0.0,9.6
