Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sateen intensiteetti (mm/h)
2017,4,3,19:00,UTC,0
2017,4,3,20:00,UTC,0
2017,4,3,21:00,UTC,0
2017,4,3,22:00,UTC,0
2017,4,3,23:00,UTC,0
2017,4,4,00:00,UTC,0
2017,4,4,01:00,UTC,0
2017,4,4,02:00,UTC,0
2017,4,4,03:00,UTC,0
2017,4,4,04:00,UTC,0
2017,4,4,05:00,UTC,0
2017,4,4,06:00,UTC,0
2017,4,4,07:00,UTC,0
2017,4,4,08:00,UTC,0
2017,4,4,09:00,UTC,0
2017,4,4,10:00,UTC,0
2017,4,4,11:00,UTC,0
2017,4,4,12:00,UTC,0
2017,4,4,13:00,UTC,0
2017,4,4,14:00,UTC,0
2017,4,4,15:00,UTC,0
2017,4,4,16:00,UTC,0
2017,4,4,17:00,UTC,0
2017,4,4,18:00,UTC,0
2017,4,4,19:00,UTC,0
2017,4,4,20:00,UTC,0
2017,4,4,21:00,UTC,0
2017,4,4,22:00,UTC,0
2017,4,4,23:00,UTC,0
2017,4,5,00:00,UTC,0
2017,4,5,01:00,UTC,0
2017,4,5,02:00,UTC,0
2017,4,5,03:00,UTC,0
2017,4,5,04:00,UTC,0
2017,4,5,05:00,UTC,0
2017,4,5,06:00,UTC,0
2017,4,5,07:00,UTC,0
2017,4,5,08:00,UTC,0.4
2017,4,5,09:00,UTC,0
2017,4,5,10:00,UTC,0
2017,4,5,11:00,UTC,0
2017,4,5,12:00,UTC,0
2017,4,5,13:00,UTC,0
2017,4,5,14:00,UTC,0
2017,4,5,15:00,UTC,0
2017,4,5,16:00,UTC,0
2017,4,5,17:00,UTC,0
2017,4,5,18:00,UTC,0
2017,4,5,19:00,UTC,0
2017,4,5,20:00,UTC,0
2017,4,5,21:00,UTC,0
2017,4,5,22:00,UTC,0
2017,4,5,23:00,UTC,0
2017,4,6,00:00,UTC,0
2017,4,6,01:00,UTC,0
2017,4,6,02:00,UTC,0
2017,4,6,03:00,UTC,0
2017,4,6,04:00,UTC,0
2017,4,6,05:00,UTC,0
2017,4,6,06:00,UTC,0
2017,4,6,07:00,UTC,0
2017,4,6,08:00,UTC,0
2017,4,6,09:00,UTC,0
2017,4,6,10:00,UTC,0
2017,4,6,11:00,UTC,0
2017,4,6,12:00,UTC,0
2017,4,6,13:00,UTC,0
2017,4,6,14:00,UTC,0
2017,4,6,15:00,UTC,0
2017,4,6,16:00,UTC,0
2017,4,6,17:00,UTC,0
2017,4,6,18:00,UTC,0
2017,4,6,19:00,UTC,0
2017,4,6,20:00,UTC,0
2017,4,6,21:00,UTC,0
2017,4,6,22:00,UTC,0
2017,4,6,23:00,UTC,0
2017,4,7,00:00,UTC,0
2017,4,7,01:00,UTC,0
2017,4,7,02:00,UTC,0
2017,4,7,03:00,UTC,0
2017,4,7,04:00,UTC,0
2017,4,7,05:00,UTC,0
2017,4,7,06:00,UTC,0
2017,4,7,07:00,UTC,0
2017,4,7,08:00,UTC,0
2017,4,7,09:00,UTC,0
2017,4,7,10:00,UTC,0
2017,4,7,11:00,UTC,0
2017,4,7,12:00,UTC,0
2017,4,7,13:00,UTC,0
2017,4,7,14:00,UTC,0
2017,4,7,15:00,UTC,0
2017,4,7,16:00,UTC,0
2017,4,7,17:00,UTC,1.6
2017,4,7,18:00,UTC,0.4
2017,4,7,19:00,UTC,0.3
2017,4,7,20:00,UTC,0.4
2017,4,7,21:00,UTC,0
2017,4,7,22:00,UTC,0
2017,4,7,23:00,UTC,0
2017,4,8,00:00,UTC,0
2017,4,8,01:00,UTC,0
2017,4,8,02:00,UTC,0
2017,4,8,03:00,UTC,0
2017,4,8,04:00,UTC,0
2017,4,8,05:00,UTC,0
2017,4,8,06:00,UTC,0
2017,4,8,07:00,UTC,0
2017,4,8,08:00,UTC,0
2017,4,8,09:00,UTC,0
2017,4,8,10:00,UTC,0
2017,4,8,11:00,UTC,0
2017,4,8,12:00,UTC,0
2017,4,8,13:00,UTC,0
2017,4,8,14:00,UTC,0
2017,4,8,15:00,UTC,0
2017,4,8,16:00,UTC,0
2017,4,8,17:00,UTC,0
2017,4,8,18:00,UTC,0
2017,4,8,19:00,UTC,0
2017,4,8,20:00,UTC,0
2017,4,8,21:00,UTC,0
2017,4,8,22:00,UTC,0
2017,4,8,23:00,UTC,0
2017,4,9,00:00,UTC,0
2017,4,9,01:00,UTC,0
2017,4,9,02:00,UTC,0
2017,4,9,03:00,UTC,0
